Date,Open,High,Low,Close,Volume,Market Cap
Feb-08-2021,38857.116947072,46225.496408246,38044.110471874,46225.496408246,118716929235.24132,766031018480.3759
Feb-07-2021,39260.740661719,39654.670372592,37389.634955593,38888.638236331,102991144866.25604,720053161966.9513
Feb-06-2021,38300.044187397,40858.551618965,38288.9866536,39191.507551212,106251967992.13086,742154277235.7987
Feb-05-2021,36977.782665012,38280.062918168,36634.285663123,37945.964473995,100182647822.41147,699542082662.3137
Feb-04-2021,37659.040571778,38734.575564407,36321.734428475,36938.034865347,95050564959.05241,698357377544.645
Feb-03-2021,35476.1418073,37565.357808704,35476.1418073,37551.934350785,89352747406.26642,680092225536.1284
Feb-02-2021,33536.478066134,35943.342298691,33536.478066134,35507.127708897,86758683273.6702,645559209205.8447
Feb-01-2021,33082.843766076,34599.997674392,32402.29412938,33513.441195617,89774569869.48357,627169519579.1973
Jan-31-2021,34275.231552263,34275.231552263,32213.318325273,33136.139470858,79168365015.20486,622243238404.2793
Jan-30-2021,34309.766648854,34823.466472083,33037.986187976,34333.107938735,144056482145.46536,633604068982.4443
Jan-29-2021,33332.491752266,38320.825534633,32011.680302496,34241.186845666,152370872355.5225,651330512374.7645
Jan-28-2021,30400.930931436,33755.549370921,29932.908804984,33117.572836963,102591907666.95448,590626513517.468
Jan-27-2021,32503.855990523,32503.855990523,29329.891444801,30305.343778842,90755198572.16115,578889895940.6112
Jan-26-2021,32305.898873031,32773.465650469,31013.714458819,32577.768696891,94141056517.76187,594982368471.0361
Jan-25-2021,32224.508685312,34818.219001231,32130.657203999,32272.783841286,85932342667.28577,620636318880.9111
Jan-24-2021,32081.018951845,32941.580322984,31122.253072711,32261.744350118,71915450466.46252,599252216356.291
Jan-23-2021,32976.472137391,33293.433935943,31464.568450061,32045.83959395,92468003469.68347,601514283280.0835
Jan-22-2021,30838.199012273,33800.961797821,28997.512820993,32836.135575065,139223374167.47925,592458335565.279
Jan-21-2021,35477.524459469,35477.524459469,30202.762335505,30892.802357827,104277748205.7988,613606162666.3647
Jan-20-2021,36002.594349953,36371.093896625,33593.671874948,35636.110992082,98186705206.41495,653840590324.3937
Jan-19-2021,36632.318175571,37701.57868118,36163.74097879,36177.487494105,94696323432.83704,685127879868.8513
Jan-18-2021,35822.529922864,37365.984728677,34840.492160995,36714.843204834,85952054615.28078,670424015901.1846
Jan-17-2021,36061.523742763,36682.760628346,34095.169184682,35786.417028053,92863643157.15813,663270945739.4935
Jan-16-2021,36833.613578222,37910.764213,35624.47868503,36178.180209501,123693873048.22154,685154441525.9501
Jan-15-2021,39280.298435092,39645.499119445,34599.968353321,36678.950398519,117305372507.91306,697436710488.2584
Jan-14-2021,37394.122642209,40000.014205919,36882.027990631,39304.686213759,114931563480.27837,716637812011.46
Jan-13-2021,34060.129315687,37626.126561642,32445.497996412,37359.33215959,126174618899.73375,645088905820.236
Jan-12-2021,35549.971250334,36524.892022449,32957.846755722,33949.396834015,176864618865.55716,648089950366.6829
Jan-11-2021,38223.373713229,38223.373713229,30592.255264247,35569.722698726,182855100854.80692,638126812425.5908
Jan-10-2021,40083.81722368,41255.979202664,35933.661817445,38299.01960037,107609376316.1692,737715778475.4187
Jan-09-2021,40577.810043195,41291.465971185,38819.670094577,40129.000498579,134582898528.89247,749903824715.6616
Jan-08-2021,39437.44033739,41849.906402124,36711.862224526,40703.290535401,172295440554.826,739499799350.0328
Jan-07-2021,36814.681967048,40164.159004366,36345.635772118,39493.128514839,141292953594.38013,706528659351.8286
Jan-06-2021,33895.701913021,36904.218251055,33315.06731261,36904.218251055,120556816942.46577,646919963464.8158
Jan-05-2021,32023.293432691,34359.990071466,30087.201861593,33965.160423041,125426476003.27278,598928102301.8455
Jan-04-2021,32949.399464061,33553.450548496,29066.665437713,31973.832153912,130918256520.55829,591803523640.4302
Jan-03-2021,32148.04850009,34717.662741718,32057.582962965,32877.607282615,124349523093.6553,621795048370.9535
Jan-02-2021,29329.695772117,33158.612438293,29014.295883824,32093.264962249,70104243266.33328,570431197310.0917
Jan-01-2021,28938.896887849,29560.027545775,28718.621788419,29300.190935827,64558591251.664345,542990405376.4353
Dec-31-2020,28863.191665694,29272.578048891,27986.65215298,28977.96181814,79271345825.66364,536314969327.7447
Dec-30-2020,27375.345815751,28938.018882515,27375.345815751,28810.020485478,73712221377.4698,523104839357.07214
Dec-29-2020,27070.01978185,27392.54054504,26077.269943543,27392.54054504,68162303669.41168,496187947758.57556
Dec-28-2020,26269.009679172,27431.904401123,26111.95778725,27147.366752087,99495188799.21472,501662962255.18304
Dec-27-2020,26463.426391226,28331.092732215,26011.660346306,26326.481838017,102567647652.80286,503085319304.98663
Dec-26-2020,24700.991337835,26698.367293831,24519.990432487,26446.973570052,68174322705.22489,469618701988.9011
Dec-25-2020,23719.237056744,24715.078304629,23463.626206427,24652.036519447,57592757106.51821,446375556422.2871
Dec-24-2020,23248.203805431,23749.014698362,22751.926015518,23733.030486264,74435058818.58348,431381467833.6405
Dec-23-2020,23816.037879536,24011.068616736,22789.244690985,23261.78519646,72103119537.01994,437386596217.99243
Dec-22-2020,22743.911418829,23801.640166626,22446.747379281,23801.640166626,83963380723.3052,428962781517.2181
Dec-21-2020,23488.415479729,24065.517799416,22119.2995308,22882.157922681,85145371413.05922,432068558158.5985
Dec-20-2020,23859.672112771,24249.957202152,23101.09890077,23516.402834426,71034858155.1023,438084395865.3526
